0,
goede spelers,+
sportief,+
"al jaren goed, alles kan, goed spelersbeleid",+
Goede club met vage bestuurders,+
Clarence Seedorf. En andere spelers,=
draait op schulden,-
"mooie italiaanse club, echte topploeg",+
ook een topper,+
"hoor er veel over, goede club",+
"redelijk team, mooie historie",+
voetbal vind ik niks,=
groot begrotingstekort,-
"Veel Nederlanders, goede resultaten.",+
"Veel goede Nederlandse spelers, zijn door deze club gekocht",+
"beetje oude selectie, wel goede spelers",+
grote buitenlandse naam,+
hoog niveau nederlandse spelers,+
ken ik niet zo goed,=
mooi aanvallend,+
ken de naam,=
Grote club,+
Mooie reputatie,+
spelers wat betreft blessures.,=
Doen goed in competitie,+
"Voldoende Nederlanders, alleen Gattuso te agressief.",-
goede club,=
wordt als goede club in de media weergegeven,+
"Mooi voetbal, ster spelers",+
idem als bovenstaande.,=
Interesseert me niet,=
"Effectief voetbal, ietwat saai",=
"macho's, maar wel mooi",+
europese top club,+
bekende spelers/goede resultaten,+
"bekende voetballers, goede ploeg",+
goede club,+
Blijven arogante italianen,-
neutraal,=
oude klassieke club met top stpelers,+
ik weet meer van regionale clubs..,=
Goede voetballers,+
"Indrukwekkende club, wedstrijd bijgewoond",+
arrogant,-
gisteren agressief gedragen tegen Tottenham Hotspurs,-
goeie club,+
ik ben altijd al fan van milan sinds inzaghi,+
weet er niet veel van,=
geldsmijters,-
kijk nooit naar wedstrijden van deze clubs,=
geeven te veel geld uit aan nieuwe spelers,-
