0,
"Goede eigen opleiding, mooste voetbal op de wereld",+
veel verwende jongetjes,-
mooiste voetbal,+
Goed presterend team,+
Beste club ter wereld op het moment,+
Ooit in het stadion geweest,=
Top spelers,+
"goede spaanse club, veel nederlandse inbreng in het verleden",+
Mooi voetbal,+
topper,+
"hoor er veel over, goede club",+
goede prestaties,+
voetbal vind ik niks,-
Unicef.,=
"Mooi combinatievoetbal, goede resultaten.",+
Ik heb gehoord dat ze goed zijn.,+
vind ik wel goed,+
combinatiespel en aanvallend voetbal,=
hier gaan alle grote spelers naar mijn idee heen,=
mooi aanvallend,+
ken de naam,=
Eigen bezoek aan Barcelona,=
"nd, en ik vind ze over het algemeen goede toneel",+
fantastisch technisch voetbal,+
Zeer lang ongeslagen,=
Ook grote ploeg!,=
zeer goede club,+
wordt als goede club in de media weergegeven,+
"Mooi voetbal, ster spelers",+
naar wat ik hoor: een goed spelende club,+
associatie met WK/ winst eufacup,=
uniek voetbal,=
"Attractief voetbal, veel schulden",+
"ooit eens in stadion geweest, goede sfeer",+
goede resultaten/spelers,+
fantastische club,+
"Mooie spelers, mooi voetbal",+
Fantastisch voetbal,+
mooi voetbal,+
steeds verieuwend,+
ik weet meer van regionale clubs..,=
fantastisch voetbal,+
"Indrukwekkende club, mooi stadion",+
"spelen mooi, aanvallend voetbal",+
goeie club,+
weleens in stadion geweest,=
weet er niet veel van,=
Goed,+
geldsmijters,-
kijk nooit naar wedstrijden van deze clubs,=
