0,
"Veel gepraat, maar weinig inhoud/ideeen",-
"veel negatief neergezet, onterecht",+
Onbekwaam,-
Zoals de wind waait.,=
weet niet wat hij wilt,-
"beschik over veel kennis, geen debater",=
"beetje faal, waar is bos??",-
weet ik weinig over,=
niet van mijn partij,=
sympatieke man,+
"Goede overstap, weinig resultaat",=
"Lijkt sympathiek, echte prater",+
"Niet duidelijk, weet niet wat hij wil",-
Waarom staat de SP er niet bij?,=
slappeling,-
"sociale man, zou prima premier zijn",+
eerlijk,+
"bestuurder, betrouwbaar, rustig",+
onzeker,-
Goed bezig!,+
"denker, eerlijk, rhetorisch niet zo goed",=
betrouwbaar (zo komt hij over),+
Slap,-
aardig persoon,+
Stond niet open voor onderhandelingen,=
goed in debatten,-
lijkt als enige iets uit te voeren,+
achterhaalde politieke standpunten,-
down to earth en staat dicht bij de mens,+
slechte aanpak in dingen regelen,-
Probeert een goed imago neer te zetten,+
zelf ingenomen kwal,-
had president moeten worden,=
krijg geen hoogte van hem,=
saai en niet inspirerend,-
valt een beetje tegen in de landelijke politiek,-
"betrouwbare indruk, rustig",+
positieve en negatieve punten,=
"Goede gedachtes, fijn van persoon",+
"is weinig in publiciteit, meeloper",=
integer maar kabinetsvorming laten liggen,-
"Een beetje suf helaas, ik ben wel PVDA",-
heeft geen verstand,-
pragmatisch,+
"wel goede ideeën, geen goede communicati",=
betrouwbaar,+
een nogal slap figuur,-
niet leuk,-
gedegen man,+
geen uitstraling,-
