0,
symphatiek rechts,+
is alleen voor rijke mensen,=
top premier!,=
ik ben het niet eens met zijn beleid,-
Stabiele leider,+
sterk,+
Nette premier,+
betrouwbaar,+
een met daadkracht,+
doet het redelijk goed als premier,+
Ben het niet eens met bepaalde maatregelen,-
slechte ideeen,-
Man die er staat,+
lijkt me een aardige man,+
hij doet zijn best en is knap,+
Staat voor zijn ideeën.,+
"Jong, vernieuwend, aangenaam.",+
"Duidelijk, weloverwogen",+
"iets te soft, maar duidelijke filosofie",+
absoluut oneens met zijn ideeen,-
staat zijn mannetje,+
houdt zich niet aan afspraken,-
"jonge hond, goed debater, rechts",+
lijkt me prima,+
nuchter,+
Sociale aardige man,+
Jammer van zijn plannen.,-
Doet het best leuk,+
niet eens met standpunten,-
economisch niet onderlegde domme leider,-
duidelijke doelstellingen,+
"Sinds hogere functie, verkeerde kant op",-
sympatiek,+
"Veel charisma, weinig idealen",=
corpsbal,=
krijg ik een positief gevoel bij,+
Prima premier,+
helder,+
"erg actief, goede politicus",+
slaat gewoon nog niet aan een kant door,=
ik vind hem een zelfingenomen kwal,-
Gewoon via-via hoor ik dit,=
goede premier,+
denkt dat alles alleen maar om geld gaat,=
Doet het goed,+
"geen liberaal, geen visie",-
ook een slap figuur en irritant,-
vriendelijk....,+
redelijk mee eens,=
"wet wat hij wil, charismatisch",+
