0,
goed idee voor kinderen van nu,+
vernieuwernde besturing,+
"Geweldige console, leuke spelletjes, maakt je echt actief",+
veel mogelijkheden,+
Vooral fun!,+
leuke partygames en casual games,+
Heb ik. Tegenvallend spelaanbod.,-
vernieuwend,+
leuk om met vrienden te doen,+
"aantal leuke spellen, leuke party console",+
"Nooit gebruikt, ziet er een beetje dom uit om te doen",-
"Heb ik zelf, goed systeem",+
"leuk, lekker actief",+
geen ervaring,=
leuke toepassingen ook voor niet-gamers,+
wel leuke spelletjes,+
"als ik ooit game, dan is het wiien",+
"Nintendo fan, dus vooral voor Zelda &amp; Mario niet het bew",+
"snel op uitgekeken, duur, interactief, niet sportief",-
Leuke spellen,+
leuk om te bewegen,+
goed dat het mensen laat bewegen,+
leuk leuk leuk,+
Leuke bezigheid,+
Goed voor de beweging,+
is anders dan de andere,=
te weinig echte games,-
leuk dat je bewegende spelletjes kunt doen,+
vernieuwend,+
leuk!,+
Leuke initiatieven,+
Erg leuk met een groep mensen,+
te veel focus op wii-play,-
te weinig kennis van,=
"speel het vaak, leuk!",+
grappig om te doen,+
het gaat,=
alleen leuk voor de kleintjes,=
leuk om te gamen vooral de sport,+
kan voor wat lichaamsbeweging zorgen,=
"Leuk! Je kan actief meedoen, stimuleer bewegen",+
geen ervaring,=
goed maar snel saai,-
Zeer leuk om mee te gamen,+
Gezellig,+
erg leuk!,+
leuk en makkelijk in gebruik,+
Leuke besturing,+
innovatief,+
"speel dit zo nu en dan, leuk",+
