0,
degelijke producten,+
Zit fijn,+
geen toegevoegde waarde voor mij/ niet bijzonder,-
goede kwaliteit,+
"ondergoed en sportkleding, mooie kwaliteit, erg duur",-
Te kleurrijk.,-
Duur,-
"Leuk, praktisch en trendy",+
erg populair,+
Te duur voor een simpele onderbroek,-
voor jongere... niet echt onderscheidend,-
hebben leuke items wel erg duur,-
1,
Mooi,+
marketing,=
grappige dessins/kleuren,+
duur,-
steeds iets nieuws,=
te duur,-
"veel gezien, niet uniek",=
nagetief imago door gebruik boven broek,-
draag ik nooit,=
Prijs/kwaliteit klopt niet,-
2,
alleen bekend van onderbroeken onder een zwembroek,=
Mode merk,=
bepaald soort mensen draagt het,=
te duur,-
modern,=
merk voor pubers,=
"prijs kwaliteit waardeloos. vaart op naam, wel knap",-
beetje te jong,=
weet niet,=
draag ik zelf,=
"leuk, maar duur",-
3,
"Koop ze nog, maar eigenlijk ben ik op zoek naar ander merk",-
schandalig dure kapsones,-
ken ik niet goed genoeg om een oordeel te kunnen vellen,=
Zoals de tennisser. Erg eng,-
te duur,-
blijven mooi van kleur,+
Te duur,-
leuke dingen,+
"goede kwaliteit,",+
merk te opzichtig in beeld,-
"leuke vlotte kledingg, sportief",+
neutraal,=
mannelijk,=
4,
die man heeft geen verstand van kleding,=
duur,-
gewoontjes,=
bijna geen ervaring,=
tennis,=
al weer een gevestigde nnaam,=
modeartikel,=
geen,=
goed,+
geen oordeel,=
is mijn man enthousiast over,+
voor jongere,=
erg duur,-
Te duur,-
hype,=
