0,
Ken ik niet,=
duur,-
onderdeel van sony,=
mooie mogelijkheden online gamen,+
veel leuke snufjes,+
"Goede spellen, grafisch krachtig.",+
populaire spellen alleen duur,=
Geen fijne controlers,-
kunt er leuk op spelen,+
geen ervaring,=
goed,+
leuk,+
1,
"ik ben oldschool, heb een playstation 1",=
geweldig product,+
voor de echte gamers ook voor multiplay,=
mooi grafisch,+
niet meer nieuw,=
veel spellen die ik graag speel,+
tijdverslinder,=
"leuk, maar ik blijf de 1e het leukst vinden",+
de beste console van dit moment,+
"ervaring met playstation, is goed",+
2,
mooie nieuwe spellen,+
mijn zoon vindt hem cool,+
boeit kinderen,+
"grafisch goed, maar te duur",-
mogelijkheden,=
"heb 2 maar is erg simpel ,weinig leuke games",-
Heb er zelf een. Geweldige spelervaring.,+
innovatief,+
weinig ervaring mee,=
Geweldig apparaat,+
ken alleen de playstation 2,=
3,
werkte in het begin slecht,-
bezit ik zelf,=
"vaak agressieve spelletjes, minder goed voor kinderen",-
te passief,-
tijdrovend bij kinderen,-
heb ik al,=
door Playstation 2 overbodig,-
mooie beeldkwaliteit,+
weinig mee bekend,=
"mooie spellen, veel mogelijkheden",+
doe ik nooit,=
geen idee,=
prachtig,+
4,
hou er niet van,-
geen ordeel,=
niet,=
Ken ik alleen van naam,=
absoluut waardeloos,-
lang geleden,=
weet niet,=
leuke spelletjes,+
alleen bekend van media,=
Ik verkies buiten te zijn,=
"mijn kinderen hebben zo'n ding, wel aardig",+
geen mening,=
heb ik nog nooit gekocht,=
weet niks van,=
onbekend,=
