0,
te links,-
te nieuw om indruk te formuleren,=
Goede opvolger van Femke Halsema,+
"Weinig bekend, goede start gemaakt.",+
komt als een sterke vrouw over,+
lastige taak om over te nemen van Halsem,+
niet zo mee bekend,=
Ken ik nog niet zo,=
nog niet zo bekend mee,=
positieve en negatieve punten,=
"Ken ik nog niet goed, net nieuw.",=
Ken ik nog niet goed genoeg,=
1,
Kijkt streng; opvolger voor Rita Verdonk,=
"nieuwkomer, moet zich nog bewijzen",=
ik hou niet van de sp,-
indrukwekkende vervangster Halsema,+
duidelijk,+
geen idee,=
Heeft nog niet veel laten zien.,=
"goed nieuw gezicht, goede ideen",+
"Frisse uitstraling, stevig",+
goede vervanger van Femke,+
2,
heb nog te weinig idee over haar,=
durft tegen de stroom in te zwemmen,+
aardig begin,+
"eigen stijl, hou ik van",+
eigengereid,+
niet met uruzgan eens.,-
vermoeiend,-
niet mijn partij,=
sympathiek,+
sterke eerste indruk van haar gekregen,+
weet niet echt veel van haar,=
3,
sympathiek,+
reeel denkend,=
ze doet het goed,+
"ken ik nog te weinig, ziet er vlot uit",+
komt standvastig over,+
zet 'm op meid!,+
goede opvolgster voor Femke,+
kan alles goed verwoorden,+
Afganistan is een smet op haar,-
"bah,bah,wil ook een flink wachtgeld oven",-
sympathiek,+
belovend,+
net gestart,=
4,
Lekkere pittige politica,+
nog onbekend,=
Moet zich nog bewijzen,=
moet nog veel leren,=
moeten we nog leren kennen,=
een nieuw talent,+
instemming met missie ondanks groot verz,=
Vakvrouw,+
Begint goed,+
"Wil goed (hoop ik), laat zich meeslepen.",+
ze komt er wel,+
bloem van de toekomst,=
komt positief over maar is er nog te kor,+
redelijk goed maar Kunduz misser,-
dapper,+
